PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30328732","Green synthesis of silver nanoparticles toward bio and medical applications: review study","Mousavi SM, Hashemi SA, Ghasemi Y, Atapour A, Amani AM, Savar Dashtaki A, Babapoor A, Arjmand O.","Artif Cells Nanomed Biotechnol. 2018;46(sup3):S855-S872. doi: 10.1080/21691401.2018.1517769. Epub 2018 Oct 17.","Mousavi SM","Artif Cells Nanomed Biotechnol","2018","2018/10/18","","","10.1080/21691401.2018.1517769"
"34769419","Bionanofactories for Green Synthesis of Silver Nanoparticles: Toward Antimicrobial Applications","Jain AS, Pawar PS, Sarkar A, Junnuthula V, Dyawanapelly S.","Int J Mol Sci. 2021 Nov 5;22(21):11993. doi: 10.3390/ijms222111993.","Jain AS","Int J Mol Sci","2021","2021/11/13","PMC8584914","","10.3390/ijms222111993"
"24937409","Silver nanoparticles: Synthesis methods, bio-applications and properties","Abbasi E, Milani M, Fekri Aval S, Kouhi M, Akbarzadeh A, Tayefi Nasrabadi H, Nikasa P, Joo SW, Hanifehpour Y, Nejati-Koshki K, Samiei M.","Crit Rev Microbiol. 2016;42(2):173-80. doi: 10.3109/1040841X.2014.912200. Epub 2014 Jun 17.","Abbasi E","Crit Rev Microbiol","2016","2014/06/18","","","10.3109/1040841X.2014.912200"
"27649147","Silver Nanoparticles: Synthesis, Characterization, Properties, Applications, and Therapeutic Approaches","Zhang XF, Liu ZG, Shen W, Gurunathan S.","Int J Mol Sci. 2016 Sep 13;17(9):1534. doi: 10.3390/ijms17091534.","Zhang XF","Int J Mol Sci","2016","2016/09/21","PMC5037809","","10.3390/ijms17091534"
"35426251","Medicinal plants mediated the green synthesis of silver nanoparticles and their biomedical applications","Habeeb Rahuman HB, Dhandapani R, Narayanan S, Palanivel V, Paramasivam R, Subbarayalu R, Thangavelu S, Muthupandian S.","IET Nanobiotechnol. 2022 Jun;16(4):115-144. doi: 10.1049/nbt2.12078. Epub 2022 Apr 15.","Habeeb Rahuman HB","IET Nanobiotechnol","2022","2022/04/15","PMC9114445","","10.1049/nbt2.12078"
"31371949","Green nanotechnology: a review on green synthesis of silver nanoparticles - an ecofriendly approach","Ahmad S, Munir S, Zeb N, Ullah A, Khan B, Ali J, Bilal M, Omer M, Alamzeb M, Salman SM, Ali S.","Int J Nanomedicine. 2019 Jul 10;14:5087-5107. doi: 10.2147/IJN.S200254. eCollection 2019.","Ahmad S","Int J Nanomedicine","2019","2019/08/03","PMC6636611","","10.2147/IJN.S200254"
"27809668","Green synthesis of silver nanoparticles via plant extracts: beginning a new era in cancer theranostics","Ovais M, Khalil AT, Raza A, Khan MA, Ahmad I, Islam NU, Saravanan M, Ubaid MF, Ali M, Shinwari ZK.","Nanomedicine (Lond). 2016 Dec;11(23):3157-3177. doi: 10.2217/nnm-2016-0279. Epub 2016 Nov 4.","Ovais M","Nanomedicine (Lond)","2016","2016/11/05","","","10.2217/nnm-2016-0279"
"36806822","Synthesis, applications, toxicity and toxicity mechanisms of silver nanoparticles: A review","Nie P, Zhao Y, Xu H.","Ecotoxicol Environ Saf. 2023 Mar 15;253:114636. doi: 10.1016/j.ecoenv.2023.114636. Epub 2023 Feb 15.","Nie P","Ecotoxicol Environ Saf","2023","2023/02/22","","","10.1016/j.ecoenv.2023.114636"
"37054507","Green synthesis of silver nanoparticles using Stachys spectabilis: Identification, catalytic degradation, and antioxidant activity","Erenler R, Gecer EN, Hosaflioglu I, Behcet L.","Biochem Biophys Res Commun. 2023 Jun 4;659:91-95. doi: 10.1016/j.bbrc.2023.04.015. Epub 2023 Apr 8.","Erenler R","Biochem Biophys Res Commun","2023","2023/04/13","","","10.1016/j.bbrc.2023.04.015"
"35691426","Green synthesis of Ag nanoparticles using elm pod polysaccharide for catalysis and bacteriostasis","He M, Han Z, Liang Y, Zhao H, Ji X, Ma G, Cui Y, Wang L.","Int J Biol Macromol. 2022 Jul 31;213:1078-1087. doi: 10.1016/j.ijbiomac.2022.06.025. Epub 2022 Jun 9.","He M","Int J Biol Macromol","2022","2022/06/12","","","10.1016/j.ijbiomac.2022.06.025"
