PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35187180","Autophagy and skin wound healing","Ren H, Zhao F, Zhang Q, Huang X, Wang Z.","Burns Trauma. 2022 Feb 16;10:tkac003. doi: 10.1093/burnst/tkac003. eCollection 2022.","Ren H","Burns Trauma","2022","2022/02/21","PMC8847901","","10.1093/burnst/tkac003"
"30938269","Regenerative Scar-Free Skin Wound Healing","Monavarian M, Kader S, Moeinzadeh S, Jabbari E.","Tissue Eng Part B Rev. 2019 Aug;25(4):294-311. doi: 10.1089/ten.TEB.2018.0350.","Monavarian M","Tissue Eng Part B Rev","2019","2019/04/03","PMC6686695","","10.1089/ten.TEB.2018.0350"
"36230913","Macrophage-Mediated Inflammation in Skin Wound Healing","Hassanshahi A, Moradzad M, Ghalamkari S, Fadaei M, Cowin AJ, Hassanshahi M.","Cells. 2022 Sep 21;11(19):2953. doi: 10.3390/cells11192953.","Hassanshahi A","Cells","2022","2022/10/14","PMC9564023","","10.3390/cells11192953"
"33945225","Accelerated Skin Wound Healing by Electrical Stimulation","Luo R, Dai J, Zhang J, Li Z.","Adv Healthc Mater. 2021 Aug;10(16):e2100557. doi: 10.1002/adhm.202100557. Epub 2021 May 4.","Luo R","Adv Healthc Mater","2021","2021/05/04","","","10.1002/adhm.202100557"
"27974711","Skin Wound Healing: An Update on the Current Knowledge and Concepts","Sorg H, Tilkorn DJ, Hager S, Hauser J, Mirastschijski U.","Eur Surg Res. 2017;58(1-2):81-94. doi: 10.1159/000454919. Epub 2016 Dec 15.","Sorg H","Eur Surg Res","2017","2016/12/16","","","10.1159/000454919"
"36417847","Skin Wound Healing: Of Players, Patterns, and Processes","Sorg H, Sorg CGG.","Eur Surg Res. 2023;64(2):141-157. doi: 10.1159/000528271. Epub 2022 Nov 23.","Sorg H","Eur Surg Res","2023","2022/11/23","","","10.1159/000528271"
"33458899","Exosomes from adipose-derived stem cells and application to skin wound healing","An Y, Lin S, Tan X, Zhu S, Nie F, Zhen Y, Gu L, Zhang C, Wang B, Wei W, Li D, Wu J.","Cell Prolif. 2021 Mar;54(3):e12993. doi: 10.1111/cpr.12993. Epub 2021 Jan 17.","An Y","Cell Prolif","2021","2021/01/18","PMC7941238","","10.1111/cpr.12993"
"29289417","Skin wound healing in humans and mice: Challenges in translational research","Zomer HD, Trentin AG.","J Dermatol Sci. 2018 Apr;90(1):3-12. doi: 10.1016/j.jdermsci.2017.12.009. Epub 2017 Dec 26.","Zomer HD","J Dermatol Sci","2018","2018/01/01","","","10.1016/j.jdermsci.2017.12.009"
"24993834","Skin wound healing and phytomedicine: a review","Pazyar N, Yaghoobi R, Rafiee E, Mehrabian A, Feily A.","Skin Pharmacol Physiol. 2014;27(6):303-10. doi: 10.1159/000357477. Epub 2014 Jun 27.","Pazyar N","Skin Pharmacol Physiol","2014","2014/07/05","","","10.1159/000357477"
"37398649","Skin immunity in wound healing and cancer","Jakovija A, Chtanova T.","Front Immunol. 2023 Jun 16;14:1060258. doi: 10.3389/fimmu.2023.1060258. eCollection 2023.","Jakovija A","Front Immunol","2023","2023/07/03","PMC10312005","","10.3389/fimmu.2023.1060258"
"32764269","Skin Wound Healing Process and New Emerging Technologies for Skin Wound Care and Regeneration","Tottoli EM, Dorati R, Genta I, Chiesa E, Pisani S, Conti B.","Pharmaceutics. 2020 Aug 5;12(8):735. doi: 10.3390/pharmaceutics12080735.","Tottoli EM","Pharmaceutics","2020","2020/08/09","PMC7463929","","10.3390/pharmaceutics12080735"
"33233704","The Immune Functions of Keratinocytes in Skin Wound Healing","Piipponen M, Li D, Landén NX.","Int J Mol Sci. 2020 Nov 20;21(22):8790. doi: 10.3390/ijms21228790.","Piipponen M","Int J Mol Sci","2020","2020/11/25","PMC7699912","","10.3390/ijms21228790"
"34834211","Membranous Extracellular Matrix-Based Scaffolds for Skin Wound Healing","Da LC, Huang YZ, Xie HQ, Zheng BH, Huang YC, Du SR.","Pharmaceutics. 2021 Oct 27;13(11):1796. doi: 10.3390/pharmaceutics13111796.","Da LC","Pharmaceutics","2021","2021/11/27","PMC8620109","","10.3390/pharmaceutics13111796"
"35073970","The application of mesenchymal stromal cells (MSCs) and their derivative exosome in skin wound healing: a comprehensive review","Bian D, Wu Y, Song G, Azizi R, Zamani A.","Stem Cell Res Ther. 2022 Jan 24;13(1):24. doi: 10.1186/s13287-021-02697-9.","Bian D","Stem Cell Res Ther","2022","2022/01/25","PMC8785459","","10.1186/s13287-021-02697-9"
"36199360","Electrospinning of botanicals for skin wound healing","Guo S, Wang P, Song P, Li N.","Front Bioeng Biotechnol. 2022 Sep 19;10:1006129. doi: 10.3389/fbioe.2022.1006129. eCollection 2022.","Guo S","Front Bioeng Biotechnol","2022","2022/10/06","PMC9527302","","10.3389/fbioe.2022.1006129"
"29797010","Skin Wound Healing: Refractory Wounds and Novel Solutions","Virador GM, de Marcos L, Virador VM.","Methods Mol Biol. 2019;1879:221-241. doi: 10.1007/7651_2018_161.","Virador GM","Methods Mol Biol","2019","2018/05/26","","","10.1007/7651_2018_161"
"30817939","Neurovascular interactions in skin wound healing","Kiya K, Kubo T.","Neurochem Int. 2019 May;125:144-150. doi: 10.1016/j.neuint.2019.02.014. Epub 2019 Feb 25.","Kiya K","Neurochem Int","2019","2019/03/01","","","10.1016/j.neuint.2019.02.014"
"15555049","Rat models of skin wound healing: a review","Dorsett-Martin WA.","Wound Repair Regen. 2004 Nov-Dec;12(6):591-9. doi: 10.1111/j.1067-1927.2004.12601.x.","Dorsett-Martin WA","Wound Repair Regen","2004","2004/11/24","","","10.1111/j.1067-1927.2004.12601.x"
"36860294","Kampo herbal ointments for skin wound healing","Paul-Traversaz M, Umehara K, Watanabe K, Rachidi W, Sève M, Souard F.","Front Pharmacol. 2023 Feb 10;14:1116260. doi: 10.3389/fphar.2023.1116260. eCollection 2023.","Paul-Traversaz M","Front Pharmacol","2023","2023/03/02","PMC9969195","","10.3389/fphar.2023.1116260"
"38030941","Reproducible strategy for excisional skin-wound-healing studies in mice","Yampolsky M, Bachelet I, Fuchs Y.","Nat Protoc. 2023 Nov 29. doi: 10.1038/s41596-023-00899-4. Online ahead of print.","Yampolsky M","Nat Protoc","2023","2023/11/29","","","10.1038/s41596-023-00899-4"
"33182690","Eicosanoids in Skin Wound Healing","Yasukawa K, Okuno T, Yokomizo T.","Int J Mol Sci. 2020 Nov 10;21(22):8435. doi: 10.3390/ijms21228435.","Yasukawa K","Int J Mol Sci","2020","2020/11/13","PMC7698125","","10.3390/ijms21228435"
"37142683","Metrnl deficiency retards skin wound healing in mice by inhibiting AKT/eNOS signaling and angiogenesis","Xu TY, Qing SL, Zhao JX, Song J, Miao ZW, Li JX, Yang FY, Zhao HY, Zheng SL, Li ZY, Wang SN, Miao CY.","Acta Pharmacol Sin. 2023 Sep;44(9):1790-1800. doi: 10.1038/s41401-023-01090-x. Epub 2023 May 4.","Xu TY","Acta Pharmacol Sin","2023","2023/05/04","PMC10462726","","10.1038/s41401-023-01090-x"
"32671072","Macrophage Dysregulation and Impaired Skin Wound Healing in Diabetes","Barman PK, Koh TJ.","Front Cell Dev Biol. 2020 Jun 26;8:528. doi: 10.3389/fcell.2020.00528. eCollection 2020.","Barman PK","Front Cell Dev Biol","2020","2020/07/17","PMC7333180","","10.3389/fcell.2020.00528"
"35451648","Fish collagen for skin wound healing: a systematic review in experimental animal studies","de Souza A, de Almeida Cruz M, de Araújo TAT, Parisi JR, do Vale GCA, Dos Santos Jorge Sousa K, Ribeiro DA, Granito RN, Renno ACM.","Cell Tissue Res. 2022 Jun;388(3):489-502. doi: 10.1007/s00441-022-03625-w. Epub 2022 Apr 22.","de Souza A","Cell Tissue Res","2022","2022/04/22","","","10.1007/s00441-022-03625-w"
"37720576","Skin wound healing effects of (+)-syringaresinol from ginseng berry","Hwang JH, Kang Y, Park HJ, Kim S, Lee SH, Kim H, Nam SJ, Lim KM.","J Ginseng Res. 2023 Sep;47(5):654-661. doi: 10.1016/j.jgr.2023.04.003. Epub 2023 Apr 14.","Hwang JH","J Ginseng Res","2023","2023/09/18","PMC10499580","","10.1016/j.jgr.2023.04.003"
"30172244","Antibacterial adhesive injectable hydrogels with rapid self-healing, extensibility and compressibility as wound dressing for joints skin wound healing","Qu J, Zhao X, Liang Y, Zhang T, Ma PX, Guo B.","Biomaterials. 2018 Nov;183:185-199. doi: 10.1016/j.biomaterials.2018.08.044. Epub 2018 Aug 24.","Qu J","Biomaterials","2018","2018/09/02","","","10.1016/j.biomaterials.2018.08.044"
"32063855","Small Leucine-Rich Proteoglycans in Skin Wound Healing","Pang X, Dong N, Zheng Z.","Front Pharmacol. 2020 Jan 28;10:1649. doi: 10.3389/fphar.2019.01649. eCollection 2019.","Pang X","Front Pharmacol","2020","2020/02/18","PMC6997777","","10.3389/fphar.2019.01649"
"33923523","The Role of Porphyrinoid Photosensitizers for Skin Wound Healing","Vallejo MCS, Moura NMM, Gomes ATPC, Joaquinito ASM, Faustino MAF, Almeida A, Gonçalves I, Serra VV, Neves MGPMS.","Int J Mol Sci. 2021 Apr 16;22(8):4121. doi: 10.3390/ijms22084121.","Vallejo MCS","Int J Mol Sci","2021","2021/04/30","PMC8072979","","10.3390/ijms22084121"
"37175601","Potential Role of AGR2 for Mammalian Skin Wound Healing","Kosykh AV, Tereshina MB, Gurskaya NG.","Int J Mol Sci. 2023 Apr 26;24(9):7895. doi: 10.3390/ijms24097895.","Kosykh AV","Int J Mol Sci","2023","2023/05/13","PMC10178616","","10.3390/ijms24097895"
"35089808","Faster skin wound healing predicts survival after myocardial infarction","Becirovic-Agic M, Chalise U, Jung M, Rodriguez-Paar JR, Konfrst SR, Flynn ER, Salomon JD, Hall ME, Lindsey ML.","Am J Physiol Heart Circ Physiol. 2022 Apr 1;322(4):H537-H548. doi: 10.1152/ajpheart.00612.2021. Epub 2022 Jan 28.","Becirovic-Agic M","Am J Physiol Heart Circ Physiol","2022","2022/01/28","PMC8917917","","10.1152/ajpheart.00612.2021"
"34203393","Immunomodulatory Properties of Host Defence Peptides in Skin Wound Healing","Petkovic M, Mouritzen MV, Mojsoska B, Jenssen H.","Biomolecules. 2021 Jun 28;11(7):952. doi: 10.3390/biom11070952.","Petkovic M","Biomolecules","2021","2021/07/02","PMC8301823","","10.3390/biom11070952"
"35141209","Rational Design and Preparation of Functional Hydrogels for Skin Wound Healing","Hao R, Cui Z, Zhang X, Tian M, Zhang L, Rao F, Xue J.","Front Chem. 2022 Jan 24;9:839055. doi: 10.3389/fchem.2021.839055. eCollection 2021.","Hao R","Front Chem","2022","2022/02/10","PMC8818740","","10.3389/fchem.2021.839055"
"35295323","Roles of MicroRNA-21 in Skin Wound Healing: A Comprehensive Review","Xie J, Wu W, Zheng L, Lin X, Tai Y, Wang Y, Wang L.","Front Pharmacol. 2022 Feb 28;13:828627. doi: 10.3389/fphar.2022.828627. eCollection 2022.","Xie J","Front Pharmacol","2022","2022/03/17","PMC8919367","","10.3389/fphar.2022.828627"
"37570163","Recent Advances in Biodegradable and Biocompatible Synthetic Polymers Used in Skin Wound Healing","Xu R, Fang Y, Zhang Z, Cao Y, Yan Y, Gan L, Xu J, Zhou G.","Materials (Basel). 2023 Aug 3;16(15):5459. doi: 10.3390/ma16155459.","Xu R","Materials (Basel)","2023","2023/08/12","PMC10419642","","10.3390/ma16155459"
"35492363","Epithelial-Mesenchymal Interaction in Hair Regeneration and Skin Wound Healing","Mao MQ, Jing J, Miao YJ, Lv ZF.","Front Med (Lausanne). 2022 Apr 14;9:863786. doi: 10.3389/fmed.2022.863786. eCollection 2022.","Mao MQ","Front Med (Lausanne)","2022","2022/05/02","PMC9048199","","10.3389/fmed.2022.863786"
"27076994","Stem Cells in Skin Wound Healing: Are We There Yet?","Cerqueira MT, Pirraco RP, Marques AP.","Adv Wound Care (New Rochelle). 2016 Apr 1;5(4):164-175. doi: 10.1089/wound.2014.0607.","Cerqueira MT","Adv Wound Care (New Rochelle)","2016","2016/04/15","PMC4817598","","10.1089/wound.2014.0607"
"20830235","Skin wound healing modulation by macrophages","Rodero MP, Khosrotehrani K.","Int J Clin Exp Pathol. 2010 Jul 25;3(7):643-53.","Rodero MP","Int J Clin Exp Pathol","2010","2010/09/11","PMC2933384","",""
"34959311","Keratin Biomaterials in Skin Wound Healing, an Old Player in Modern Medicine: A Mini Review","Konop M, Rybka M, Drapała A.","Pharmaceutics. 2021 Nov 28;13(12):2029. doi: 10.3390/pharmaceutics13122029.","Konop M","Pharmaceutics","2021","2021/12/28","PMC8705570","","10.3390/pharmaceutics13122029"
"34449673","Experimental Models to Study Skin Wound Healing with a Focus on Angiogenesis","Grambow E, Sorg H, Sorg CGG, Strüder D.","Med Sci (Basel). 2021 Aug 25;9(3):55. doi: 10.3390/medsci9030055.","Grambow E","Med Sci (Basel)","2021","2021/08/27","PMC8395822","","10.3390/medsci9030055"
