journal,doi,title,abstract,comment,rating
Int J Mol Sci,10.3390/ijms21228790,The Immune Functions of Keratinocytes in Skin Wound Healing,"As the most dominant cell type in the skin, keratinocytes play critical roles in wound repair not only as structural cells but also exerting important immune functions. This review focuses on the communications between keratinocytes and immune cells in wound healing, which are mediated by various cytokines, chemokines, and extracellular vesicles. Keratinocytes can also directly interact with T cells via antigen presentation. Moreover, keratinocytes produce antimicrobial peptides that can directly kill the invading pathogens and contribute to wound repair in many aspects. We also reviewed the epigenetic mechanisms known to regulate keratinocyte immune functions, including histone modifications, non-protein-coding RNAs (e.g., microRNAs, and long noncoding RNAs), and chromatin dynamics. Lastly, we summarized the current evidence on the dysregulated immune functions of keratinocytes in chronic nonhealing wounds. Based on their crucial immune functions in skin wound healing, we propose that keratinocytes significantly contribute to the pathogenesis of chronic wound inflammation. We hope this review will trigger an interest in investigating the immune roles of keratinocytes in chronic wound pathology, which may open up new avenues for developing innovative wound treatments.",review,
Int J Mol Sci,10.3390/ijms21228435,Eicosanoids in Skin Wound Healing,"Wound healing is an important process in the human body to protect against external threats. A dysregulation at any stage of the wound healing process may result in the development of various intractable ulcers or excessive scar formation. Numerous factors such as growth factors, cytokines, and chemokines are involved in this process and play vital roles in tissue repair. Moreover, recent studies have demonstrated that lipid mediators derived from membrane fatty acids are also involved in the process of wound healing. Among these lipid mediators, we focus on eicosanoids such as prostaglandins, thromboxane, leukotrienes, and specialized pro-resolving mediators, which are produced during wound healing processes and play versatile roles in the process. This review article highlights the roles of eicosanoids on skin wound healing, especially focusing on the biosynthetic pathways and biological functions, i.e., inflammation, proliferation, migration, angiogenesis, remodeling, and scarring.",review,
Int J Mol Sci,10.3390/ijms22084121,The Role of Porphyrinoid Photosensitizers for Skin Wound Healing,"Microorganisms, usually bacteria and fungi, grow and spread in skin wounds, causing infections. These infections trigger the immune system and cause inflammation and tissue damage within the skin or wound, slowing down the healing process. The use of photodynamic therapy (PDT) to eradicate microorganisms has been regarded as a promising alternative to anti-infective therapies, such as those based on antibiotics, and more recently, is being considered for skin wound-healing, namely for infected wounds. Among the several molecules exploited as photosensitizers (PS), porphyrinoids exhibit suitable features for achieving those goals efficiently. The capability that these macrocycles display to generate reactive oxygen species (ROS) gives a significant contribution to the regenerative process. ROS are responsible for avoiding the development of infections by inactivating microorganisms such as bacteria but also by promoting cell proliferation through the activation of stem cells which regulates inflammatory factors and collagen remodeling. The PS can act solo or combined with several materials, such as polymers, hydrogels, nanotubes, or metal-organic frameworks (MOF), keeping both the microbial photoinactivation and healing/regenerative processes' effectiveness. This review highlights the developments on the combination of PDT approach and skin wound healing using natural and synthetic porphyrinoids, such as porphyrins, chlorins and phthalocyanines, as PS, as well as the prodrug 5-aminolevulinic acid (5-ALA), the natural precursor of protoporphyrin-IX (PP-IX).",review,suspicious
Int J Mol Sci,10.3390/ijms24097895,Potential Role of AGR2 for Mammalian Skin Wound Healing,"The limited ability of mammals to regenerate has garnered significant attention, particularly in regard to skin wound healing (WH), which is a critical step for regeneration. In human adults, skin WH results in the formation of scars following injury or trauma, regardless of severity. This differs significantly from the scarless WH observed in the fetal skin of mammals or anamniotes. This review investigates the role of molecular players involved in scarless WH, which are lost or repressed in adult mammalian WH systems. Specifically, we analyze the physiological role of Anterior Gradient (AGR) family proteins at different stages of the WH regulatory network. AGR is activated in the regeneration of lower vertebrates at the stage of wound closure and, accordingly, is important for WH. Mammalian AGR2 is expressed during scarless WH in embryonic skin, while in adults, the activity of this gene is normally inhibited and is observed only in the mucous epithelium of the digestive tract, which is capable of full regeneration. The combination of AGR2 unique potencies in postnatal mammals makes it possible to consider it as a promising candidate for enhancing WH processes.",review,suspicious
Int J Mol Sci,10.3390/ijms21145092,Carbonic Anhydrase VI in Skin Wound Healing Study on Car6 Knockout Mice,"Carbonic anhydrases (CAs) contribute to tumor cell migration by generating an acidic environment through the conversion of carbon dioxide to bicarbonate and a proton. CA VI is secreted to milk and saliva, and it could contribute to wound closure, as a potential trophic factor, in animals that typically lick their wounds. Our aim was to investigate whether human CA VI improves skin-wound healing in full-thickness skin-wound models. The effect was studied in Car6 -/- knockout mice and wild type littermates. Half of both mice strains were given topically administered, milk-derived CA VI after wounding and eight hours later. The amount of topically given CA VI exceeded the predicted amount of natural saliva-delivered CA VI. The healing was followed for seven days and studied from photographs and histological sections. Our results showed no significant differences between the treatment groups in wound closure, re-epithelization, or granulation tissue formation, nor did the Car6 genotype affect the healing. Our results demonstrate that CA VI does not play a major role in skin-wound healing and also suggest that saliva-derived CA VI is not responsible for the licking-associated improved wound healing in animals.",experimental,
Int J Mol Sci,10.3390/ijms24043839,Dipotassium Glycyrrhizininate Improves Skin Wound Healing by Modulating Inflammatory Process,"Wound healing is characterized by a systemic and complex process of cellular and molecular activities. Dipotassium Glycyrrhizinate (DPG), a side product derived from glycyrrhizic acid, has several biological effects, such as being antiallergic, antioxidant, antibacterial, antiviral, gastroprotective, antitumoral, and anti-inflammatory. This study aimed to evaluate the anti-inflammatory effect of topical DPG on the healing of cutaneous wounds by secondary intention in an in vivo experimental model. Twenty-four male Wistar rats were used in the experiment, and were randomly divided into six groups of four. Circular excisions were performed and topically treated for 14 days after wound induction. Macroscopic and histopathological analyses were performed. Gene expression was evaluated by real-time qPCR. Our results showed that treatment with DPG caused a decrease in the inflammatory exudate as well as an absence of active hyperemia. Increases in granulation tissue, tissue reepithelization, and total collagen were also observed. Furthermore, DPG treatment reduced the expression of pro-inflammatory cytokines (Tnf-α, Cox-2, Il-8, Irak-2, Nf-kB, and Il-1) while increasing the expression of Il-10, demonstrating anti-inflammatory effects across all three treatment periods. Based on our results, we conclude that DPG attenuates the inflammatory process by promoting skin wound healing through the modulation of distinct mechanisms and signaling pathways, including anti-inflammatory ones. This involves modulation of the expression of pro- and anti-inflammatory cytokine expression; promotion of new granulation tissue; angiogenesis; and tissue re-epithelialization, all of which contribute to tissue remodeling.",experimental - 24 male Wistar rats,number of rats is suspicious
Int J Mol Sci,10.3390/ijms20143381,Sphingosine-1-Phosphate Facilitates Skin Wound Healing by Increasing Angiogenesis and Inflammatory Cell Recruitment with Less Scar Formation,"Wound healing starts with the recruitment of inflammatory cells that secrete wound-related factors. This step is followed by fibroblast activation and tissue construction. Sphingosine-1-phosphate (S1P) is a lipid mediator that promotes angiogenesis, cell proliferation, and attracts immune cells. We investigated the roles of S1P in skin wound healing by altering the expression of its biogenic enzyme, sphingosine kinase-1 (SphK1). The murine excisional wound splinting model was used. Sphingosine kinase-1 (SphK1) was highly expressed in murine wounds and that SphK1-/- mice exhibit delayed wound closure along with less angiogenesis and inflammatory cell recruitment. Nanoparticle-mediated topical SphK1 overexpression accelerated wound closure, which associated with increased angiogenesis, inflammatory cell recruitment, and various wound-related factors. The SphK1 overexpression also led to less scarring, and the interaction between transforming growth factor (TGF)-β1 and S1P receptor-2 (S1PR2) signaling is likely to play a key role. In summary, SphK1 play important roles to strengthen immunity, and contributes early wound healing with suppressed scarring. S1P can be a novel therapeutic molecule with anti-scarring effect in surgical, trauma, and chronic wound management.",experimental,suspicious
Int J Mol Sci,10.3390/ijms20102579,Effects of Sapindus mukorossi Seed Oil on Skin Wound Healing: In Vivo and in Vitro Testing,"Sapindus mukorossi seed oil is commonly used as a source for biodiesel fuel. Its phytochemical composition is similar to the extracted oil from Sapindus trifoliatus seeds, which exhibit beneficial effects for skin wound healing. Since S. mukorossi seed shows no cyanogenic property, it could be a potential candidate for the treatment of skin wounds. Thus, we evaluated the effectiveness of S. mukorossi seed oil in the treatment of skin wounds. We characterized and quantified the fatty acids and unsaponifiable fractions (including β-sitosterol and δ-tocopherol) contained in S. mukorossi seed-extracted oil by GC-MS and HPLC, respectively. Cell proliferation and migratory ability were evaluated by cell viability and scratch experiments using CCD-966SK cells treated with S. mukorossi oil. The anti-inflammatory effects of the oil were evaluated by measuring the nitric oxide (NO) production in lipopolysaccharide-treated RAW 264.7 cells. Antimicrobial activity tests were performed with Propionibacterium acnes, Staphylococcus aureus, and Candida albicans using a modified Japanese Industrial Standard procedure. Uniform artificial wounds were created on the dorsum of rats. The wounds were treated with a carboxymethyl cellulose (CMC)/hyaluronic acid (HA)/sodium alginate (SA) hydrogel for releasing the S. mukorossi seed oil. The wound sizes were measured photographically for 12 days and were compared to wounds covered with analogous membranes containing a saline solution. Our results showed that the S. mukorossi seed oil used in this study contains abundant monounsaturated fatty acids, β-sitosterol, and δ-tocopherol. In the in vitro tests, S. mukorossi seed oil prompted cell proliferation and migration capability. Additionally, the oil had significant anti-inflammatory and anti-microbial activities. In the in vivo animal experiments, S. mukorossi seed oil-treated wounds revealed acceleration of sequential skin wound healing events after two days of healing. The size of oil-treated wound decreased to half the size of the untreated control after eight days of healing. The results suggest that S. mukorossi seed oil could be a potential source for promoting skin wound healing.",experimental,suspicious
Int J Mol Sci,10.3390/ijms241411831,Anti-Inflammatory and Histological Analysis of Skin Wound Healing through Topical Application of Mexican Propolis,"Skin wound healing is a complex biochemical process of tissue repair and remodeling in response to injury. Currently, the drugs used to improve the healing process are inaccessible to the population, are costly, and have side effects, making the search for new treatment alternatives necessary. Propolis is a natural product produced by bees that is widely recognized and used in folk medicine for its multiple biomedical activities. However, therapeutic information regarding Mexican propolis is limited. This study aimed to evaluate the wound-healing effect of the Chihuahua ethanolic extract of propolis (ChEEP). Macroscopic and histological analyses were performed using a mouse wound-healing model. The topic acute toxicity assay showed that propolis at 10% w/v had no toxic effects. ChEEP has antibacterial activity against the Gram-positive bacteria Staphylococcus aureus and Staphylococcus epidermidis. Moreover, it exhibited good anti-inflammatory activity evaluated through mouse ear edema induced by 12-O-tetradeca-noylphorbol-13-acetate (TPA). A full-thickness incision lesion was created in mice and treated topically with 10% ChEEP. At Day 14 post-treatment, it was observed that propolis increased wound contraction and reduced healing time and wound length; furthermore, propolis increased the tensile strength of the wound, as determined with the tensiometric method, and promoted the formation of type I collagen at the site of injury, as evaluated with Herovici stain. These findings suggest that the topical administration of ChEEP can improve skin wound healing, probably due to the synergistic effect of its components, mainly polyphenols, in different steps of the wound-healing process. It should be noted this is the first time that the wound-healing activity of a Mexican propolis has been evaluated.",experimental,suspicious no mention of number of mice in experiment
Int J Mol Sci,10.3390/ijms23116289,Preparation of Recombinant Human Collagen III Protein Hydrogels with Sustained Release of Extracellular Vesicles for Skin Wound Healing,"Existing treatment methods encounter difficulties in effectively promoting skin wound healing, making this a serious challenge for clinical treatment. Extracellular vesicles (EVs) secreted by stem cells have been proven to contribute to the regeneration and repair of wound tissue, but they cannot be targeted and sustained, which seriously limits their current therapeutic potential. The recombinant human collagen III protein (rhCol III) has the advantages of good water solubility, an absence of hidden viral dangers, a low rejection rate and a stable production process. In order to achieve a site-specific sustained release of EVs, we prepared a rhCol III hydrogel by cross-linking with transglutaminase (TGase) from Streptomyces mobaraensis, which has a uniform pore size and good biocompatibility. The release profile of the rhCol III-EVs hydrogel confirmed that the rhCol III hydrogel could slowly release EVs into the external environment. Herein, the rhCol III-EVs hydrogel effectively promoted macrophage changing from type M1 to type M2, the migration ability of L929 cells and the angiogenesis of human umbilical vein endothelial cells (HUVECs). Furthermore, the rhCol III-EVs hydrogel is shown to promote wound healing by inhibiting the inflammatory response and promoting cell proliferation and angiogenesis in a diabetic rat skin injury model. The reported results indicate that the rhCol III-EVs hydrogel could be used as a new biological material for EV delivery, and has a significant application value in skin wound healing.",experimental,
Int J Mol Sci,10.3390/ijms18081614,The Pharmaceutical Device Prisma(®) Skin Promotes in Vitro Angiogenesis through Endothelial to Mesenchymal Transition during Skin Wound Healing,"Glycosaminoglycans are polysaccharides of the extracellular matrix supporting skin wound closure. Mesoglycan is a mixture of glycosaminoglycans such as chondroitin-, dermatan-, heparan-sulfate and heparin and is the main component of Prisma® Skin, a pharmaceutical device developed by Mediolanum Farmaceutici S.p.a. Here, we show the in vitro effects of this device in the new vessels formation by endothelial cells, since angiogenesis represents a key moment in wound healing. We found a strong increase of migration and invasion rates of these cells treated with mesoglycan and Prisma® Skin which mediate the activation of the pathway triggered by CD44 receptor. Furthermore, endothelial cells form longer capillary-like structures with a great number of branches, in the presence of the same treatments. Thus, the device, thanks to the mesoglycan, leads the cells to the Endothelial-to-Mesenchymal Transition, suggesting the switch to a fibroblast-like phenotype, as shown by immunofluorescence assays. Finally, we found that mesoglycan and Prisma® Skin inhibit inflammatory reactions such as nitric oxide secretion and NF-κB nuclear translocation in endothelial cells and Tumor Necrosis Factor-α production by macrophages. In conclusion, based on our data, we suggest that Prisma® Skin may be able to accelerate angiogenesis in skin wound healing, and regulate inflammation avoiding chronic, thus pathological, responses.",experimental,
